TIME,ROAD_CLASS,DISTRICT,LOCCOORD,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,INITDIR,MANOEUVER,DRIVACT,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,NEIGHBOURHOOD_158
1000,Major Arterial,Scarborough,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,45 to 49,,South,Going Ahead,Driving Properly,,,,,,,,Yes,Yes,,,,,,,,,Wexford/Maryvale
1000,Major Arterial,Scarborough,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,30 to 34,Major,East,Turning Right,,,,,Cyclist turns right across motorists path,Failed to Yield Right of Way,Inattentive,,Yes,Yes,,,,,,,,,Wexford/Maryvale
1357,Major Arterial,Toronto and East York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,35 to 39,Major,South,,,Pedestrian involved in a collision with transit vehicle anywhere along roadway,"Crossing, no Traffic Control",Unknown,,,,Yes,,,,,Yes,,,,,,Yonge-Bay Corridor
1357,Major Arterial,Toronto and East York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,,,,,,,,,,Yes,,,,,Yes,,,,,,Yonge-Bay Corridor
1357,Major Arterial,Toronto and East York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,,West,Going Ahead,Driving Properly,,,,,,,Yes,,,,,Yes,,,,,,Yonge-Bay Corridor
1730,Major Arterial,Etobicoke York,Intersection,Stop Sign,Rain,Daylight,Wet,Non-Fatal Injury,Angle,Vehicle Owner,unknown,,,,,,,,,,,,,Yes,,Yes,,Yes,,Yes,,,Keelesdale-Eglinton West
1730,Major Arterial,Etobicoke York,Intersection,Stop Sign,Rain,Daylight,Wet,Non-Fatal Injury,Angle,Truck Driver,40 to 44,Minimal,South,Stopped,Driving Properly,,,,,,,,,Yes,,Yes,,Yes,,Yes,,,Keelesdale-Eglinton West
1730,Major Arterial,Etobicoke York,Intersection,Stop Sign,Rain,Daylight,Wet,Non-Fatal Injury,Angle,Vehicle Owner,unknown,,,,,,,,,,,,,Yes,,Yes,,Yes,,Yes,,,Keelesdale-Eglinton West
1730,Major Arterial,Etobicoke York,Intersection,Stop Sign,Rain,Daylight,Wet,Non-Fatal Injury,Angle,Passenger,20 to 24,Major,,,,,,,,,,,,Yes,,Yes,,Yes,,Yes,,,Keelesdale-Eglinton West
1730,Major Arterial,Etobicoke York,Intersection,Stop Sign,Rain,Daylight,Wet,Non-Fatal Injury,Angle,Driver,20 to 24,Minimal,West,Going Ahead,Improper Passing,,,,,,,,,Yes,,Yes,,Yes,,Yes,,,Keelesdale-Eglinton West
954,Minor Arterial,Etobicoke York,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Vehicle Owner,unknown,,,,,,,,,,,,Yes,Yes,,,,,,,,,Rockcliffe-Smythe
954,Minor Arterial,Etobicoke York,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,70 to 74,,East,Turning Left,Improper Turn,,,,,,,,Yes,Yes,,,,,,,,,Rockcliffe-Smythe
954,Minor Arterial,Etobicoke York,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,60 to 64,Major,South,Going Ahead,,,,,Motorist turned left across cyclists path.,Driving Properly,Normal,,Yes,Yes,,,,,,,,,Rockcliffe-Smythe
50,Major Arterial,Scarborough,Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Other Property Owner,unknown,,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,,,Wexford/Maryvale
50,Major Arterial,Scarborough,Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Passenger,20 to 24,Major,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,,,Wexford/Maryvale
50,Major Arterial,Scarborough,Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Passenger,15 to 19,Minor,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,,,Wexford/Maryvale
50,Major Arterial,Scarborough,Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Vehicle Owner,unknown,,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,,,Wexford/Maryvale
50,Major Arterial,Scarborough,Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Driver,20 to 24,,West,Turning Right,Exceeding Speed Limit,,,,,,,,,Yes,,,,Yes,Yes,Yes,,,Wexford/Maryvale
926,Major Arterial,Scarborough,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,45 to 49,Major,,,,,,,,,,,,Yes,,,,Yes,,,,,Wexford/Maryvale
926,Major Arterial,Scarborough,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,20 to 24,Minor,South,Turning Left,Improper Turn,,,,,,,,,Yes,,,,Yes,,,,,Wexford/Maryvale
926,Major Arterial,Scarborough,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,25 to 29,Minimal,North,Going Ahead,Driving Properly,,,,,,,,,Yes,,,,Yes,,,,,Wexford/Maryvale
1208,Minor Arterial,North York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,,,,,,,,,,Yes,,Yes,,,,,,Yes,,,Lansing-Westgate
1208,Minor Arterial,North York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,,South,Overtaking,Improper Passing,,,,,,,Yes,,Yes,,,,,,Yes,,,Lansing-Westgate
1208,Minor Arterial,North York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,10 to 14,Major,,,,Pedestrian hit at mid-block,Running onto Roadway,Normal,,,,Yes,,Yes,,,,,,Yes,,,Lansing-Westgate
1624,Major Arterial,North York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Vehicle Owner,unknown,,,,,,,,,,,,,Yes,,Yes,,,,Yes,Yes,,Don Valley Village
1624,Major Arterial,North York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Truck Driver,30 to 34,,South,Going Ahead,Disobeyed Traffic Control,,,,,,,,,Yes,,Yes,,,,Yes,Yes,,Don Valley Village
1624,Major Arterial,North York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Vehicle Owner,unknown,,,,,,,,,,,,,Yes,,Yes,,,,Yes,Yes,,Don Valley Village
1624,Major Arterial,North York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,60 to 64,Major,East,Going Ahead,Driving Properly,,,,,,,,,Yes,,Yes,,,,Yes,Yes,,Don Valley Village
1827,Major Arterial,Etobicoke York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,unknown,,,Reversing,,,,,,,,Yes,,Yes,,,,,,,,,New Toronto
1827,Major Arterial,Etobicoke York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,unknown,Major,,Other,,Unknown,,,,,,Yes,,Yes,,,,,,,,,New Toronto
2015,Major Arterial,Scarborough,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,15 to 19,,East,Going Ahead,Following too Close,,,,,,,,,Yes,,,,Yes,,Yes,,,West Hill
2015,Major Arterial,Scarborough,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,40 to 44,,East,Slowing or Stopping,Driving Properly,,,,,,,,,Yes,,,,Yes,,Yes,,,West Hill
2015,Major Arterial,Scarborough,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,25 to 29,Major,,,,,,,,,,,,Yes,,,,Yes,,Yes,,,West Hill
2130,Major Arterial,North York,Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,25 to 29,Major,North,Going Ahead,Driving Properly,,,,,,,,,Yes,Yes,,,,,Yes,,,Fenside-Parkwoods
2130,Major Arterial,North York,Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,Vehicle Owner,unknown,,,,,,,,,,,,,Yes,Yes,,,,,Yes,,,Fenside-Parkwoods
2130,Major Arterial,North York,Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,Driver,45 to 49,,West,Turning Left,Failed to Yield Right of Way,,,,,,,,,Yes,Yes,,,,,Yes,,,Fenside-Parkwoods
127,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Passenger,20 to 24,Major,,,,,,,,,,,,Yes,,,,Yes,,Yes,Yes,,Harbourfront-CityPlace
127,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,25 to 29,Major,East,Going Ahead,Driving Properly,,,,,,,,,Yes,,,,Yes,,Yes,Yes,,Harbourfront-CityPlace
127,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Passenger,25 to 29,Minor,,,,,,,,,,,,Yes,,,,Yes,,Yes,Yes,,Harbourfront-CityPlace
127,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,20 to 24,Minimal,South,Going Ahead,Disobeyed Traffic Control,,,,,,,,,Yes,,,,Yes,,Yes,Yes,,Harbourfront-CityPlace
1414,Major Arterial,Toronto and East York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,,,,,,,,,,Yes,,,,,Yes,,,,,,Rosedale-Moore Park
1414,Major Arterial,Toronto and East York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,,North,Going Ahead,Driving Properly,,,,,,,Yes,,,,,Yes,,,,,,Rosedale-Moore Park
1414,Major Arterial,Toronto and East York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,75 to 79,Major,East,,,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Running onto Roadway,Other,,,,Yes,,,,,Yes,,,,,,Rosedale-Moore Park
1650,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,25 to 29,,East,Going Ahead,Driving Properly,,,,,,,,,Yes,,,,Yes,,Yes,,,Harbourfront-CityPlace
1650,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Passenger,5 to 9,Major,,,,,,,,,,,,Yes,,,,Yes,,Yes,,,Harbourfront-CityPlace
1650,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Passenger,30 to 34,Minimal,,,,,,,,,,,,Yes,,,,Yes,,Yes,,,Harbourfront-CityPlace
1650,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Passenger,5 to 9,Minimal,,,,,,,,,,,,Yes,,,,Yes,,Yes,,,Harbourfront-CityPlace
1650,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Passenger,30 to 34,Minimal,,,,,,,,,,,,Yes,,,,Yes,,Yes,,,Harbourfront-CityPlace
1650,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,30 to 34,,South,Going Ahead,Failed to Yield Right of Way,,,,,,,,,Yes,,,,Yes,,Yes,,,Harbourfront-CityPlace
1823,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,35 to 39,,West,Going Ahead,Driving Properly,,,,,,,,,Yes,,,,Yes,,Yes,Yes,,Harbourfront-CityPlace
1823,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,20 to 24,Minor,,,,,,,,,,,,Yes,,,,Yes,,Yes,Yes,,Harbourfront-CityPlace
1823,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,20 to 24,Major,,,,,,,,,,,,Yes,,,,Yes,,Yes,Yes,,Harbourfront-CityPlace
1823,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Vehicle Owner,unknown,,,,,,,,,,,,,Yes,,,,Yes,,Yes,Yes,,Harbourfront-CityPlace
1823,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,20 to 24,Minimal,East,Turning Left,Disobeyed Traffic Control,,,,,,,,,Yes,,,,Yes,,Yes,Yes,,Harbourfront-CityPlace
1310,Major Arterial,Etobicoke York,Mid-Block,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Sideswipe,Vehicle Owner,unknown,,,,,,,,,,,,,Yes,,,,Yes,,Yes,,,Mimico-Queensway
1310,Major Arterial,Etobicoke York,Mid-Block,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Sideswipe,Driver,45 to 49,Minimal,East,Going Ahead,Other,,,,,,,,,Yes,,,,Yes,,Yes,,,Mimico-Queensway
1310,Major Arterial,Etobicoke York,Mid-Block,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Sideswipe,Passenger,70 to 74,Minimal,,,,,,,,,,,,Yes,,,,Yes,,Yes,,,Mimico-Queensway
1310,Major Arterial,Etobicoke York,Mid-Block,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Sideswipe,Driver,60 to 64,Major,East,Pulling Away from Shoulder or Curb,Failed to Yield Right of Way,,,,,,,,,Yes,,,,Yes,,Yes,,,Mimico-Queensway
1313,Minor Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Vehicle Owner,unknown,,,,,,,,,,,,,Yes,,,,Yes,,,,,West Humber-Clairville
1313,Minor Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,25 to 29,Minimal,South,Going Ahead,Driving Properly,,,,,,,,,Yes,,,,Yes,,,,,West Humber-Clairville
1313,Minor Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,15 to 19,Major,,,,,,,,,,,,Yes,,,,Yes,,,,,West Humber-Clairville
1313,Minor Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Vehicle Owner,unknown,,,,,,,,,,,,,Yes,,,,Yes,,,,,West Humber-Clairville
1313,Minor Arterial,Etobicoke York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,35 to 39,Minimal,North,Turning Left,Improper Turn,,,,,,,,,Yes,,,,Yes,,,,,West Humber-Clairville
1758,Minor Arterial,Toronto and East York,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,85 to 89,,East,Going Ahead,Driving Properly,,,,,,,Yes,,Yes,,,,,,,,,The Beaches
1758,Minor Arterial,Toronto and East York,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,85 to 89,Major,North,,,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Inattentive,,,,Yes,,Yes,,,,,,,,,The Beaches
825,Minor Arterial,Scarborough,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,,North,Turning Left,Failed to Yield Right of Way,,,,,,,Yes,,,,,,,,Yes,,,West Rouge
825,Minor Arterial,Scarborough,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,35 to 39,Major,North,,,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,,,,Yes,,,,,,,,Yes,,,West Rouge
1815,Local,Toronto and East York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,55 to 59,,South,Going Ahead,Driving Properly,,,,,,,,Yes,Yes,,,,,,,,,Oakwood Village
1815,Local,Toronto and East York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,5 to 9,Major,West,Going Ahead,,,,,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Failed to Yield Right of Way,Inattentive,,Yes,Yes,,,,,,,,,Oakwood Village
150,Major Arterial,Etobicoke York,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Other,Motorcycle Passenger,25 to 29,Minimal,,,,,,,,,,,,,Yes,,,Yes,Yes,Yes,,,Eringate-Centennial-West Deane
150,Major Arterial,Etobicoke York,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Other,Motorcycle Driver,30 to 34,Major,West,Going Ahead,Exceeding Speed Limit,,,,,,,,,,Yes,,,Yes,Yes,Yes,,,Eringate-Centennial-West Deane
1600,Major Arterial,Scarborough,Intersection,Traffic Signal,Other,Daylight,Other,Non-Fatal Injury,Pedestrian Collisions,,unknown,,North,Going Ahead,,,,,,,,Yes,,Yes,,,,,,,,,Bendale-Glen Andrew
1600,Major Arterial,Scarborough,Intersection,Traffic Signal,Other,Daylight,Other,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,50 to 54,Major,West,,,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Unknown,,,,Yes,,Yes,,,,,,,,,Bendale-Glen Andrew
1100,Minor Arterial,Toronto and East York,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,45 to 49,,South,Going Ahead,Other,,,,,,,,Yes,Yes,,,,,,,,,Bay-Cloverhill
1100,Minor Arterial,Toronto and East York,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,West,Going Ahead,,,,,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Other,Inattentive,,Yes,Yes,,,,,,,,,Bay-Cloverhill
1310,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,,,,,,,,,,Yes,,,,,Yes,,,,,,Wellington Place
1310,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,40 to 44,,South,Going Ahead,Driving Properly,,,,,,,Yes,,,,,Yes,,,,,,Wellington Place
1310,Major Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,40 to 44,Major,East,,,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Crossing without right of way,Inattentive,,,,Yes,,,,,Yes,,,,,,Wellington Place
920,Minor Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Vehicle Owner,unknown,,,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,Yes,,Little Portugal
920,Minor Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,20 to 24,,South,Going Ahead,Disobeyed Traffic Control,,,,,,,,Yes,Yes,,,,,Yes,Yes,Yes,,Little Portugal
920,Minor Arterial,Toronto and East York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,25 to 29,Major,East,Going Ahead,,,,,"Motorist without ROW drives into path of cyclist at inter, lnwy, dwy-Driver not turn.",Driving Properly,Normal,,Yes,Yes,,,,,Yes,Yes,Yes,,Little Portugal
1310,Major Arterial,Etobicoke York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,,,,,,,,,,Yes,,,,,Yes,,,,,,Eringate-Centennial-West Deane
1310,Major Arterial,Etobicoke York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,,East,Going Ahead,Driving Properly,,,,,,,Yes,,,,,Yes,,,,,,Eringate-Centennial-West Deane
1310,Major Arterial,Etobicoke York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,60 to 64,Major,North,,,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Other,Had Been Drinking,,,,Yes,,,,,Yes,,,,,,Eringate-Centennial-West Deane
1600,Major Arterial,North York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,40 to 44,Major,,,,,,,,,,,,Yes,,,,Yes,,,,,Forest Hill North
1600,Major Arterial,North York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,35 to 39,,South,Going Ahead,Driving Properly,,,,,,,,,Yes,,,,Yes,,,,,Forest Hill North
1600,Major Arterial,North York,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,55 to 59,,North,Turning Left,Improper Turn,,,,,,,,,Yes,,,,Yes,,,,,Forest Hill North
1255,Major Arterial,North York,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,0 to 4,Minimal,,,,,,,,,,,,Yes,,,,Yes,,,,,Mount Pleasant East
